throughput,cycle_time,lead_time,wip_compliance,project_completion_days,defects
9.083333333333334,3.5860518170642135,5.14313355787711,0.33333333333333337,177.07721218577257,0.10929995148172883
9.333333333333334,3.626054192524317,5.100704208048198,0.33333333333333337,188.04194772206677,0.12482739521175934
9.5,3.6257118862576636,6.318095786704994,0.33333333333333337,168.72998621866282,0.09497628321931292
10.083333333333334,3.4575092383141333,5.934195667280235,0.33333333333333337,170.99404831544416,0.12044027086267642
9.083333333333334,3.687136739617014,5.851423879211218,0.33333333333333337,179.46830910228206,0.10099710614303321
9.666666666666666,3.6083327727866057,6.266151982968509,0.33333333333333337,186.92472542812754,0.103521127186207
9.416666666666666,3.6557373464929324,5.559900730284414,0.33333333333333337,192.70080407802703,0.09491756101497026
9.166666666666666,3.658465841510585,5.260329345325441,0.33333333333333337,171.22040741797431,0.09461560812105227
9.416666666666666,3.7367874850050353,5.689353061165049,0.33333333333333337,171.5353954951029,0.07559211141532853
9.333333333333334,3.6585262267593492,6.196631655385981,0.33333333333333337,176.05414887285508,0.10858931288391747
9.833333333333334,3.566870110753018,6.032872369020402,0.33333333333333337,168.93055980300113,0.04984346779602125
9.416666666666666,3.739350713356223,6.662989230153459,0.33333333333333337,179.74050892273377,0.1275693596017093
9.75,3.6241601341449368,6.142890719687429,0.33333333333333337,179.38157209951385,0.13379231701674227
9.5,3.54780196850712,6.686558858014696,0.33333333333333337,168.13844619119044,0.10540774000775252
9.25,3.550581714856876,5.222752786914707,0.33333333333333337,182.44753219938582,0.08223318023720602
9.583333333333334,3.6032380085680624,6.086493087264669,0.33333333333333337,171.6268756125511,0.07458946434893365
9.75,3.6450555115997996,6.441427634935689,0.33333333333333337,174.74578815563788,0.10733531171870901
9.5,3.6179492337785057,6.976665872750649,0.33333333333333337,178.50432669879532,0.12049795541686631
9.416666666666666,3.78164943906648,5.6638628478709325,0.33333333333333337,174.7592408552871,0.08952814349096098
9.0,3.506558709928473,5.029460092857844,0.33333333333333337,171.6718243508565,0.1228781193383652
9.5,3.541225304101209,5.325002054572448,0.33333333333333337,180.17407925408287,0.1215042178651135
10.333333333333334,3.527274050812858,5.506236454744579,0.33333333333333337,171.63656446698215,0.09891128215206584
9.75,3.5889111504550226,5.842614014878699,0.33333333333333337,171.8299755608941,0.11221344266265118
9.833333333333334,3.5341332827778915,5.828246283460586,0.33333333333333337,173.53997249037542,0.07995317552489081
9.75,3.499000817536476,6.386329525055215,0.33333333333333337,186.56687584002833,0.116868155788527
9.666666666666666,3.710255038825365,6.175835016227894,0.33333333333333337,175.13577048820673,0.053344277616897265
9.25,3.3542055132144784,5.28436636967756,0.33333333333333337,176.97728020957555,0.08723934334441877
9.5,3.5700000612176264,5.027189393039847,0.33333333333333337,172.35202434502764,0.06948347460350981
9.416666666666666,3.732376199923579,7.403615285027092,0.33333333333333337,174.33841970304067,0.13993141968568562
9.666666666666666,3.5324092198483013,5.13803863300722,0.33333333333333337,173.15490838742915,0.12173336292118586
9.75,3.7144761793453673,7.843484185658383,0.33333333333333337,174.88504753982468,0.10778417880026792
9.083333333333334,3.5053235648302428,6.634460649132954,0.33333333333333337,175.3027393597351,0.08726483378284153
9.833333333333334,3.772282119629059,5.995348700693653,0.33333333333333337,181.319756193659,0.10915223298362019
9.083333333333334,3.6433998795139355,6.548097518972171,0.33333333333333337,175.10116628239427,0.13775055641484657
9.916666666666666,3.604183633949353,5.661662050452243,0.33333333333333337,169.5825139411087,0.08149822291486487
9.333333333333334,3.483289985213726,5.020468307312904,0.33333333333333337,182.016303620456,0.09155388361004388
9.583333333333334,3.5270588145624253,6.764313201379199,0.33333333333333337,170.58665410588426,0.12807277957316918
9.25,3.7312309078861157,5.460370085887379,0.33333333333333337,181.2226328326008,0.16276306083981348
9.666666666666666,3.5813822230101517,5.937991175788623,0.33333333333333337,175.03284330511067,0.11044612982895025
9.75,3.6711861332618545,5.214111059845664,0.33333333333333337,184.73810114661296,0.1055373252216914
9.75,3.6016356887828596,7.218007344960444,0.33333333333333337,171.51370452272357,0.10840503994035126
