metric,scrum_mean,scrum_std,scrum_p10_p90,kanban_mean,kanban_std,kanban_p10_p90,delta_pct_k_minus_s,winner
Цикловое время (дни),5.044455027698465,0.12849683720974373,4.88–5.21,3.629711025451981,0.09200046324818015,3.51–3.75,-28.04552710804841,Kanban
Lead Time (дни),15.41437480471604,2.5505452305289276,12.57–18.93,5.952586317517528,0.6728377657918481,5.20–6.90,-61.38288842116172,Kanban
Пропускная способность (задач/ит.),7.449025,0.6666058467569539,6.58–8.33,9.580608333333334,0.364533860548113,9.08–10.08,28.61560181813505,Kanban
Время завершения проекта (дни),179.8695206416876,9.10493332093016,169.76–192.79,176.03096666483802,6.048278215852623,169.30–184.38,-2.1340769481985946,Kanban
Уровень дефектов,0.14028005078874267,0.019725017676551878,11.5%–16.6%,0.10500047588900593,0.02024170023303726,7.9%–13.1%,-25.149388456428962,Kanban
Завершение спринта / WIP-соблюд.,0.8211808480639731,0.0513509079301873,75.4%–88.7%,0.3333338383838385,3.570889227133834e-05,33.3%–33.3%,-59.407986782727484,Scrum
