metric,p_value,significant_alpha_05,cohens_d,effect
Цикловое время,0.0,True,12.660054309112176,очень большой
Lead Time,0.0,True,5.072782969971537,очень большой
Пропускная способность,0.0,True,3.9676740405628594,очень большой
Дефекты,0.0,True,1.7653001798662078,очень большой
